VillageCode,VillageNameEnglish,VillageCode,VillageCensus2011Code,SubdistrictCode,SubDistrictNameEnglish,SubDistrictNameLocal,SubDistrictCensus2011Code,DistrictCode,DistrictNameEnglish,DistrictNameLocal,DistrictCensus2011Code,StateCode,StateNameEnglish,StateNameLocal,stateCensus2011Code,last_updated
54353,Majpeepal,,054353,6349,"Pulla Gumdesh",,00000,48,Champawat,"CHAMPAWAT                                         ",065,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
55832,"Majra Khushhalpur",,055832,348,Bajpur,,00348,56,"Udham Singh Nagar","UDHAM SINGH NAGAR",067,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
56908,Majri,,056908,355,Laksar,,00355,50,Haridwar,"HARIDWAR                                          ",068,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
45029,Majri,,045029,303,"Vikas Nagar",,00303,49,Dehradun,"DEHRADUN                                          ",060,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
51996,"Majur Bangari",,051996,326,Chaukhutiya,,00326,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
51997,"Majur Nayak",,051997,326,Chaukhutiya,,00326,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
41844,"Majyari Malli",,041844,6345,Adibadri,,00000,47,Chamoli,"CHAMOLI                                           ",057,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
46240,Makandchak,,046240,307,Pauri,,00307,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
56354,"Makanpur Mahmood Alampur",,056354,6022,Bhagwanpur,,00000,50,Haridwar,"HARIDWAR                                          ",068,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
49938,Makdhot,,049938,6336,"Ganai Gangoli",,00000,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
50252,"Makholya Gaon",,050252,320,Pithoragarh,,00320,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
44705,Makhti,,044705,300,Chakrata,,00300,49,Dehradun,"DEHRADUN                                          ",060,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
45743,Maklori,,045743,307,Pauri,,00307,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
40920,Makroli,,040920,285,Chamoli,,00285,47,Chamoli,"CHAMOLI                                           ",057,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
49744,Malan,,049744,318,Berinag,,00318,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
40950,Malanachaknail,,040950,285,Chamoli,,00285,47,Chamoli,"CHAMOLI                                           ",057,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
49506,"Malan Nadu",,049506,6425,Kanalichhina,,00000,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
47642,Malargaon,,047642,6355,Rikhanikhal,,00000,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
40892,Malari,,040892,284,Joshimath,,00284,47,Chamoli,"CHAMOLI                                           ",057,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
46998,Malchod,,046998,309,Dhoomakot,,00309,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
48740,Maletha,,048740,314,Yamkeshwar,,00314,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
47887,Maletha,,047887,311,Satpuli,,00311,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
41836,Malethi,,041836,6345,Adibadri,,00000,47,Chamoli,"CHAMOLI                                           ",057,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
41853,Malgur,,041853,6345,Adibadri,,00000,47,Chamoli,"CHAMOLI                                           ",057,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
44876,Malhau,,044876,302,Kalsi,,00302,49,Dehradun,"DEHRADUN                                          ",060,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
51851,Malihari,,051851,325,Bhikiasain,,00325,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
50557,"Malkha Dungrcha",,050557,6367,Shama,,00000,46,Bageshwar,"BAGESHWAR                                         ",063,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
45703,Malkholi,,045703,307,Pauri,,00307,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
48004,Malkot,,048004,312,"Chaubatta Khal",,00312,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
54195,"Malla Bapru",,054195,6377,Barakot,,00000,48,Champawat,"CHAMPAWAT                                         ",065,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
54635,"Malla Bardho",,054635,339,Betalghat,,00339,51,Nainital,"NAINITAL                                          ",066,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
53473,"Malla Binaula",,053473,332,Jainti,,00332,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
52401,"Malla Biswa",,052401,328,Ranikhet,,00328,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
54244,"Malla Dhek",,054244,336,Lohaghat,,00336,48,Champawat,"CHAMPAWAT                                         ",065,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
50036,"Malla Garkhe",,050036,319,Gangolihat,,00319,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
53909,"Malla Kafalta",,053909,6348,Manch,,00000,48,Champawat,"CHAMPAWAT                                         ",065,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
51489,"Malla Mahargaon",,051489,6330,Syalde,,00000,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
51869,"Malla Mohana",,051869,326,Chaukhutiya,,00326,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
51203,"Malla Sarna",,051203,6332,Kafligair,,00000,46,Bageshwar,"BAGESHWAR                                         ",063,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
52652,"Malla Surana",,052652,6341,Bagwalipokhar,,00000,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
46210,Malli,,046210,307,Pauri,,00307,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
52726,"Malli Bitholi",,052726,6340,Jalali,,00000,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
53505,"Malli Pipali",,053505,332,Jainti,,00332,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
40566,Malna,,040566,281,Dunda,,00281,57,Uttarkashi,"UTTAR KASHI                                       ",056,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
55960,Malsagirdharpur,,055960,6030,Rudrapur,Rudrapur,00000,56,"Udham Singh Nagar","UDHAM SINGH NAGAR",067,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
51000,Malta,,051000,323,Bageshwar,,00323,46,Bageshwar,"BAGESHWAR                                         ",063,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
51883,"Maltwani Walli","Maltwani Walli",051883,326,Chaukhutiya,,00326,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
50889,Malujhal,,050889,323,Bageshwar,,00323,46,Bageshwar,"BAGESHWAR                                         ",063,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
43048,"Malumarora Mayagaon",,043048,294,Devprayag,,00294,55,"Tehri Garhwal","TEHRI GARHWAL                                     ",059,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
42989,Malyakot,,042989,293,Ghansali,,00293,55,"Tehri Garhwal","TEHRI GARHWAL                                     ",059,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
43672,Malyakot,,043672,296,"Jakhani Dhar",,00296,55,"Tehri Garhwal","TEHRI GARHWAL                                     ",059,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
42455,Managu,,042455,291,Rudraprayag,,00291,54,Rudraprayag,रूद्रप्रयाग,058,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
52457,Manari,,052457,328,Ranikhet,,00328,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
54533,Manarsa,,054533,338,"Kosya Kutauli",,00338,51,Nainital,"NAINITAL                                          ",066,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
43128,Manda,,043128,294,Devprayag,,00294,55,"Tehri Garhwal","TEHRI GARHWAL                                     ",059,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
44381,Manda,,044381,6372,Gaja,,00000,55,"Tehri Garhwal","TEHRI GARHWAL                                     ",059,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
46271,"Manda Khal",,046271,307,Pauri,,00307,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
52491,Mandalkote,,052491,328,Ranikhet,,00328,45,Almora,"ALMORA                                            ",064,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
45574,Mandaru,,045574,306,Srinagar,,00306,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
44523,"Mandiyari Gaon",,044523,6363,Pawkidevi,,00000,55,"Tehri Garhwal","TEHRI GARHWAL                                     ",059,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
40790,Mando,,040790,6366,Joshiyara,,00000,57,Uttarkashi,"UTTAR KASHI                                       ",056,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
47610,Mandoli,,047610,6355,Rikhanikhal,,00000,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
46942,Mandoli,,046942,309,Dhoomakot,,00309,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
47403,"Mandoli Malli",,047403,310,Lansdowne,,00310,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
47128,"Mangeri Talli",,047128,309,Dhoomakot,,00309,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
945291,Manglaur,मंगलौर,000000,6352,Narsan,,00000,50,Haridwar,"HARIDWAR                                          ",068,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
54273,Mangoli,,054273,336,Lohaghat,,00336,48,Champawat,"CHAMPAWAT                                         ",065,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
44683,Mangrauli,,044683,300,Chakrata,,00300,49,Dehradun,"DEHRADUN                                          ",060,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
47060,"Mangronath Gunth",,047060,309,Dhoomakot,,00309,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
40701,"Mani Chhoti",,040701,282,"Chinyali Saur",,00282,57,Uttarkashi,"UTTAR KASHI                                       ",056,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
49764,Manipur,,049764,318,Berinag,,00318,53,Pithoragarh,"PITHORAGARH                                       ",062,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
48161,"Manjh Gaon",,048161,312,"Chaubatta Khal",,00312,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
47382,Manjin,,047382,310,Lansdowne,,00310,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
43748,Manjiyari,,043748,6360,Kandisaur,,00000,55,"Tehri Garhwal","TEHRI GARHWAL                                     ",059,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
44501,Manjiyari,,044501,6363,Pawkidevi,,00000,55,"Tehri Garhwal","TEHRI GARHWAL                                     ",059,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
48357,"Manjiyari Lagga Khodiyalgaon",,048357,313,Kotdwara,,00313,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
47410,Manjkot,,047410,310,Lansdowne,,00310,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
45772,"Manj Kot Gunth",,045772,307,Pauri,,00307,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
47996,Mankot,,047996,312,"Chaubatta Khal",,00312,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
41565,Manoor,,041565,6333,Narayanbagar,,00000,47,Chamoli,"CHAMOLI                                           ",057,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
55729,Manorathpurii,,055729,347,Jaspur,,00347,56,"Udham Singh Nagar","UDHAM SINGH NAGAR",067,5,Uttarakhand,UTTARAKHAND,05,21-04-2026
